/usr/lib/jvm/java-8-oracle/bin/java -Dspark.master=local[2] -Didea.launcher.port=7533 -Didea.launcher.bin.path=/home/tblee/idea-IC/bin -Dfile.encoding=UTF-8 -classpath "/usr/lib/jvm/java-8-oracle/jre/lib/charsets.jar:/usr/lib/jvm/java-8-oracle/jre/lib/deploy.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/cldrdata.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/dnsns.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/jaccess.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/jfxrt.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/localedata.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/nashorn.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/sunec.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/sunjce_provider.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/sunpkcs11.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/zipfs.jar:/usr/lib/jvm/java-8-oracle/jre/lib/javaws.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jce.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jfr.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jfxswt.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jsse.jar:/usr/lib/jvm/java-8-oracle/jre/lib/management-agent.jar:/usr/lib/jvm/java-8-oracle/jre/lib/plugin.jar:/usr/lib/jvm/java-8-oracle/jre/lib/resources.jar:/usr/lib/jvm/java-8-oracle/jre/lib/rt.jar:/media/tblee/Data/Stanford courses/Spring 2016/CME323/Project/rnn_nlp/target/scala-2.11/classes:/home/tblee/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.11.8.jar:/home/tblee/spark-1.6.1/assembly/target/scala-2.11/spark-assembly-1.6.1-hadoop2.4.0.jar:/home/tblee/idea-IC/lib/idea_rt.jar" com.intellij.rt.execution.application.AppMain org.apache.spark.shallowNN.char_RNN_SGD
Using Spark's repl log4j profile: org/apache/spark/log4j-defaults-repl.properties
Training loss at epoch 179: 2.047861367080264
Training loss at epoch 180: 2.0893813419035703
Training loss at epoch 181: 2.092054452119378
Training loss at epoch 182: 2.0806956187878294
Training loss at epoch 183: 2.060622839777378
Training loss at epoch 184: 2.0349903600799677
Training loss at epoch 185: 2.0370871206773
Training loss at epoch 186: 2.0306446704965944
Training loss at epoch 187: 2.0641100532298813
Training loss at epoch 188: 2.0812465369143673
Training loss at epoch 189: 2.0179152013473316
Training loss at epoch 190: 2.0366665453348474
Training loss at epoch 191: 2.1069384310302546
Training loss at epoch 192: 2.0836437978682603
Training loss at epoch 193: 2.076752423572713
Training loss at epoch 194: 2.049363502765846
Training loss at epoch 195: 2.048173062486406
Training loss at epoch 196: 2.0496734207708376
Training loss at epoch 197: 2.0579888214925086
Training loss at epoch 198: 2.070284413120538
Training loss at epoch 199: 2.061412951459909
Training loss at epoch 200: 2.068290172755344
Training loss at epoch 201: 2.0595445220704893
Training loss at epoch 202: 2.0317551987901794
Training loss at epoch 203: 2.0746739026279335
Training loss at epoch 204: 2.0551785348868896
Training loss at epoch 205: 2.050611509925946
Training loss at epoch 206: 2.052420095035728
Training loss at epoch 207: 2.0586796081926844
Training loss at epoch 208: 2.0513501520129624
Training loss at epoch 209: 2.0570631038361533
Training loss at epoch 210: 2.0777137886822747
Training loss at epoch 211: 2.0491610645252334
Training loss at epoch 212: 2.0392775498103455
Training loss at epoch 213: 2.053611656619402
Training loss at epoch 214: 2.0413946610955627
Training loss at epoch 215: 2.0472053194371638
Training loss at epoch 216: 2.02337945301738
Training loss at epoch 217: 2.0659877473322372
Training loss at epoch 218: 2.0294223232149693
Training loss at epoch 219: 2.0638996064572086
Training loss at epoch 220: 2.0487024254143456
Training loss at epoch 221: 2.0645493193624485
Training loss at epoch 222: 2.0473175766343132
Training loss at epoch 223: 2.0329512562926415
Training loss at epoch 224: 2.0343913039726513
Training loss at epoch 225: 2.015908550967715
Training loss at epoch 226: 1.999803038085817
Training loss at epoch 227: 2.0229319773984296
Training loss at epoch 228: 2.0496777456339847
Training loss at epoch 229: 2.0458136849198794
Training loss at epoch 230: 2.0481364995062434
Training loss at epoch 231: 2.0274978755215107
Training loss at epoch 232: 2.02756378615101
Training loss at epoch 233: 2.0149036496845856
Training loss at epoch 234: 2.0404346919497813
Training loss at epoch 235: 2.025166352170965
Training loss at epoch 236: 2.034022643411325
Training loss at epoch 237: 2.0418056986385293
Training loss at epoch 238: 2.0054876519949505
Training loss at epoch 239: 2.009460454044846
Training loss at epoch 240: 2.030500199570554
Training loss at epoch 241: 2.0453666875695817
Training loss at epoch 242: 2.0424678520349318
Training loss at epoch 243: 2.049854204479955
Training loss at epoch 244: 2.05536270131826
Training loss at epoch 245: 2.040603266924593
Training loss at epoch 246: 2.0308182975258795
Training loss at epoch 247: 2.0227737979056033
Training loss at epoch 248: 2.0469973562109134
Training loss at epoch 249: 2.0192047028178672
Training loss at epoch 250: 2.037526925990478
Training loss at epoch 251: 2.0120684193295215
Training loss at epoch 252: 2.021802033657398
Training loss at epoch 253: 2.050776044078624
Training loss at epoch 254: 2.055533212160609
Training loss at epoch 255: 2.021264051911987
Training loss at epoch 256: 2.0679520367826463
Training loss at epoch 257: 2.028867549014795
Training loss at epoch 258: 2.046640816818839
Training loss at epoch 259: 2.003898767910027
Training loss at epoch 260: 2.047795525139933
Training loss at epoch 261: 2.0356326921649974
Training loss at epoch 262: 2.00505013184752
Training loss at epoch 263: 2.0008074240893787
Training loss at epoch 264: 2.0048342102198395
Training loss at epoch 265: 2.012170236448308
Training loss at epoch 266: 2.029144414750343
Training loss at epoch 267: 2.026642272619363
Training loss at epoch 268: 2.0285683665120815
Training loss at epoch 269: 2.025708302144926
Training loss at epoch 270: 2.0074021146490297
Training loss at epoch 271: 1.9984279916549386
Training loss at epoch 272: 2.012480659465041
Training loss at epoch 273: 1.9953593311736155
Training loss at epoch 274: 2.0059994247291804
Training loss at epoch 275: 2.0036639555894307
Training loss at epoch 276: 2.02151973639218
Training loss at epoch 277: 2.007559279304179
Training loss at epoch 278: 2.012690783222271
Training loss at epoch 279: 2.0267084406169302
Training loss at epoch 280: 2.0229069887320774
Training loss at epoch 281: 1.9964655673751932
Training loss at epoch 282: 2.0374520905448525
Training loss at epoch 283: 2.0215679755579337
Training loss at epoch 284: 2.0428904076618726
Training loss at epoch 285: 2.0225684757025286
Training loss at epoch 286: 2.0331756184767644
Training loss at epoch 287: 2.0228248230902786
Training loss at epoch 288: 2.0197384961454494
Training loss at epoch 289: 2.042986104468818
Training loss at epoch 290: 1.9944184331449804
Training loss at epoch 291: 2.009106599909335
Training loss at epoch 292: 2.011139219757112
Training loss at epoch 293: 1.9903612952384062
Training loss at epoch 294: 1.99042139776673
Training loss at epoch 295: 2.0000894031504655
Training loss at epoch 296: 2.0141440205983754
Training loss at epoch 297: 2.0153128104140046
Training loss at epoch 298: 1.9780445180071895
Training loss at epoch 299: 2.0240609547217194
Training loss at epoch 300: 2.019386013384045
Training loss at epoch 301: 2.0318771898560546
Training loss at epoch 302: 2.0297432624272456
Training loss at epoch 303: 2.02006401506764
Training loss at epoch 304: 2.0226095460908917
Training loss at epoch 305: 2.0253195500896966
Training loss at epoch 306: 1.995233701019487
Training loss at epoch 307: 2.018355037512096
Training loss at epoch 308: 2.0539984839145395
Training loss at epoch 309: 1.9906615083210852
Training loss at epoch 310: 2.0083533915964167
Training loss at epoch 311: 2.018879439263415
Training loss at epoch 312: 2.019661514719855
Training loss at epoch 313: 2.004117548649766
Training loss at epoch 314: 2.0254429989173883
Training loss at epoch 315: 2.0196798206550284
Training loss at epoch 316: 2.020778318947291
Training loss at epoch 317: 2.0239379498525554
Training loss at epoch 318: 1.9907695263586795
Training loss at epoch 319: 1.990849081841498
Training loss at epoch 320: 1.957956437564697
Training loss at epoch 321: 2.0102149427118525
Training loss at epoch 322: 2.0084997477037145
Training loss at epoch 323: 1.988380027288803
Training loss at epoch 324: 2.015774607608827
Training loss at epoch 325: 1.9971467284877713
Training loss at epoch 326: 2.0280753409443273
Training loss at epoch 327: 1.9959878324264038
Training loss at epoch 328: 1.9653053428954708
Training loss at epoch 329: 1.989512101855588
Training loss at epoch 330: 1.9923041239383266
Training loss at epoch 331: 2.001373842831565
Training loss at epoch 332: 2.0158609813275836
Training loss at epoch 333: 1.9637205669496867
Training loss at epoch 334: 1.9891215312590813
Training loss at epoch 335: 1.9790973847598017
Training loss at epoch 336: 1.9847187702542461
Training loss at epoch 337: 1.9804593155229744
Training loss at epoch 338: 1.9800980912296162
Training loss at epoch 339: 1.9739604025129398
Training loss at epoch 340: 1.957659485071833
Training loss at epoch 341: 1.9899880996695785
Training loss at epoch 342: 1.9604767255225455
Training loss at epoch 343: 2.0170610511955136
Training loss at epoch 344: 1.9778838744134577
Training loss at epoch 345: 1.9994057063486415
Training loss at epoch 346: 2.0175377481504393
Training loss at epoch 347: 1.973383607504605
Training loss at epoch 348: 1.974926387641924
Training loss at epoch 349: 2.0098318314587127
Training loss at epoch 350: 1.997013110047392
Training loss at epoch 351: 1.9964047512923089
Training loss at epoch 352: 1.9718986097479845
Training loss at epoch 353: 2.0000215677614155
Training loss at epoch 354: 2.005717765828534
Training loss at epoch 355: 2.0012156616748378
Training loss at epoch 356: 1.9754598692213396
Training loss at epoch 357: 1.9890278619778157
Training loss at epoch 358: 1.993931441226439
Training loss at epoch 359: 2.0036831299985898
Training loss at epoch 360: 1.9457764355833431
Training loss at epoch 361: 1.9655332399406766
Training loss at epoch 362: 2.009275815937499
Training loss at epoch 363: 2.0173798264416862
Training loss at epoch 364: 1.9894756398795348
Training loss at epoch 365: 1.9957868359442277
Training loss at epoch 366: 1.9877455785328055
Training loss at epoch 367: 2.004923806906246
Training loss at epoch 368: 2.0330963620297555
Training loss at epoch 369: 1.9960191787339896
Training loss at epoch 370: 1.9767356805586647
Training loss at epoch 371: 1.9951724448937285
Training loss at epoch 372: 1.9743588745671685
Training loss at epoch 373: 1.9907738226381313
Training loss at epoch 374: 2.003866052536414
Training loss at epoch 375: 1.9804766470461752
Training loss at epoch 376: 1.9620807905193072
Training loss at epoch 377: 1.9435559794234045
Training loss at epoch 378: 2.00798398761988
Training loss at epoch 379: 2.0190066684503565
Training loss at epoch 380: 1.9572905511185594
Training loss at epoch 381: 2.0177996363161057
Training loss at epoch 382: 1.956676289608204
Training loss at epoch 383: 1.9702993997673095
Training loss at epoch 384: 2.0128168897594736
Training loss at epoch 385: 1.9722082884000551
Training loss at epoch 386: 1.9877719110102894
Training loss at epoch 387: 2.0024460033930134
Training loss at epoch 388: 1.983062464670864
Training loss at epoch 389: 1.9730133565629115
Training loss at epoch 390: 1.997784129810055
Training loss at epoch 391: 1.9361824641151608
Training loss at epoch 392: 1.986427736135761
Training loss at epoch 393: 1.9700673480878514
Training loss at epoch 394: 1.9924922425125493
Training loss at epoch 395: 1.9804584499968303
Training loss at epoch 396: 1.9845884738505972
Training loss at epoch 397: 2.004689670394616
Training loss at epoch 398: 1.9784704325332239
Training loss at epoch 399: 1.966256286145859
Training loss at epoch 400: 1.9704719318589956
Training loss at epoch 401: 2.008476161622252
Training loss at epoch 402: 1.935256406749826
Training loss at epoch 403: 1.969492334367238
Training loss at epoch 404: 1.9699794041924157
Training loss at epoch 405: 2.004081656609493
Training loss at epoch 406: 1.9469833503449439
Training loss at epoch 407: 2.007403522865421
Training loss at epoch 408: 2.001158918885791
Training loss at epoch 409: 1.9878953168189124
Training loss at epoch 410: 2.0001902539389307
Training loss at epoch 411: 1.9457530442357303
Training loss at epoch 412: 1.9738489707200053
Training loss at epoch 413: 1.9698462729782371
Training loss at epoch 414: 1.9615056665908357
Training loss at epoch 415: 1.9693128173724825
Training loss at epoch 416: 1.9988210083365259
Training loss at epoch 417: 1.9815595398921995
Training loss at epoch 418: 1.9697019217307759
Training loss at epoch 419: 1.9940990446665705
Training loss at epoch 420: 2.0095907939453443
Training loss at epoch 421: 2.0028958634533454
Training loss at epoch 422: 1.9646297060360303
Training loss at epoch 423: 1.9470230636801844
Training loss at epoch 424: 1.9841419342670479
Training loss at epoch 425: 1.9694274661500657
Training loss at epoch 426: 1.9641686879858669
Training loss at epoch 427: 1.965034470653278
Training loss at epoch 428: 1.9944180426910292
Training loss at epoch 429: 1.9520276117209006
Training loss at epoch 430: 1.9862843451747374
Training loss at epoch 431: 2.027882746891314
Training loss at epoch 432: 1.987372909547594
Training loss at epoch 433: 1.9800241472766567
Training loss at epoch 434: 1.9822203342470313
Training loss at epoch 435: 1.9452018423401571
Training loss at epoch 436: 1.9596881223337608
Training loss at epoch 437: 1.9717080501712705
Training loss at epoch 438: 1.9737322537864417
Training loss at epoch 439: 1.9867160070351833
Training loss at epoch 440: 1.948524152245604
Training loss at epoch 441: 1.9706400512987419
Training loss at epoch 442: 1.972035862301596
Training loss at epoch 443: 1.9584500732451486
Training loss at epoch 444: 1.987923834003786
Training loss at epoch 445: 1.9572036416690832
Training loss at epoch 446: 1.98341670211654
Training loss at epoch 447: 1.9631612938185268
Training loss at epoch 448: 1.9517451573888434
Training loss at epoch 449: 1.9536970984111979
Training loss at epoch 450: 1.9631573963265618
Training loss at epoch 451: 1.973011765942253
Training loss at epoch 452: 2.005154600112767
Training loss at epoch 453: 1.9653738994976382
Training loss at epoch 454: 1.9848296604621265
Training loss at epoch 455: 1.9716195226733046
Training loss at epoch 456: 1.949855633533903
Training loss at epoch 457: 1.934913807802395
Training loss at epoch 458: 1.971056731421899
Training loss at epoch 459: 1.9476288108478903
Training loss at epoch 460: 1.9681337812271107
Training loss at epoch 461: 1.943224881184863
Training loss at epoch 462: 1.9685595790983734
Training loss at epoch 463: 1.9594690715216685
Training loss at epoch 464: 1.9233908868952772
Training loss at epoch 465: 1.9779983679127355
Training loss at epoch 466: 1.9666866113108517
Training loss at epoch 467: 1.9687950621195052
Training loss at epoch 468: 1.9546814949427977
Training loss at epoch 469: 1.9528567239301127
Training loss at epoch 470: 1.9326763460107148
Training loss at epoch 471: 1.9817258791181327
Training loss at epoch 472: 1.9540632789521684
Training loss at epoch 473: 1.9419280351919221
Training loss at epoch 474: 1.9461331297886577
Training loss at epoch 475: 1.9597934035564288
Training loss at epoch 476: 1.9400783513745468
Training loss at epoch 477: 1.9560290054721332
Training loss at epoch 478: 1.9592882263865414
Training loss at epoch 479: 1.946194656183165
Training loss at epoch 480: 1.991922928763773
Training loss at epoch 481: 1.9497792423913687
Training loss at epoch 482: 1.9630233920099969
Training loss at epoch 483: 1.969211725505811
Training loss at epoch 484: 2.006306070128069
Training loss at epoch 485: 1.9646837835694402
Training loss at epoch 486: 1.9564658906560166
Training loss at epoch 487: 1.939997545292298
Training loss at epoch 488: 1.9607355007190244
Training loss at epoch 489: 1.9643450535979663
Training loss at epoch 490: 1.9691542642408877
Training loss at epoch 491: 1.939213876989819
Training loss at epoch 492: 1.9539385712377673
Training loss at epoch 493: 1.9517990496535393
Training loss at epoch 494: 1.954678159119348
Training loss at epoch 495: 1.9289473340554555
Training loss at epoch 496: 1.9478891022143243
Training loss at epoch 497: 2.0009031876616192
Training loss at epoch 498: 1.9541475212546744
Training loss at epoch 499: 1.9970471300213437
Training loss at epoch 500: 1.9726103021676207
Training loss at epoch 501: 1.9110819360883673
Training loss at epoch 502: 1.9653689647366794
Training loss at epoch 503: 1.9207260359491498
Training loss at epoch 504: 1.9372748413660292
Training loss at epoch 505: 1.9508596557198052
Training loss at epoch 506: 1.9167280032902438
Training loss at epoch 507: 1.9575010572307878
Training loss at epoch 508: 1.952922631684671
Training loss at epoch 509: 1.9499493651075313
Training loss at epoch 510: 1.970459816037522
Training loss at epoch 511: 1.9738511675965724
Training loss at epoch 512: 1.9684353372545123
Training loss at epoch 513: 1.9161738081151742
Training loss at epoch 514: 1.9732949283265224
Training loss at epoch 515: 1.940903208196706
Training loss at epoch 516: 1.9351668387894072
Training loss at epoch 517: 1.9554760266865374
Training loss at epoch 518: 1.9686132798239089
Training loss at epoch 519: 1.938121839836912
Training loss at epoch 520: 1.9628469709630767
Training loss at epoch 521: 1.9376070270907038
Training loss at epoch 522: 1.9289012742499194
Training loss at epoch 523: 1.931392709404525
Training loss at epoch 524: 1.9712785976788694
Training loss at epoch 525: 1.9821725061715687
Training loss at epoch 526: 1.9188134006964028
Training loss at epoch 527: 1.950350195678996
Training loss at epoch 528: 1.968023497600021
Training loss at epoch 529: 1.9598513292156305
Training loss at epoch 530: 1.946041086188706
Training loss at epoch 531: 1.9544012833443345
Training loss at epoch 532: 1.9515740433691826
Training loss at epoch 533: 1.939808393071542
Training loss at epoch 534: 1.9267474868312502
Training loss at epoch 535: 1.9407934377433225
Training loss at epoch 536: 1.952360587178016
Training loss at epoch 537: 1.9731244364284468
Training loss at epoch 538: 1.984619638271278
Training loss at epoch 539: 1.9653576639969852
Training loss at epoch 540: 1.9560626541012611
Training loss at epoch 541: 1.976121174403861
Training loss at epoch 542: 1.975162110926078
Training loss at epoch 543: 1.9701471890995117
Training loss at epoch 544: 1.9505925303787324
Training loss at epoch 545: 1.9426814233964032
Training loss at epoch 546: 1.9604522298162013
Training loss at epoch 547: 2.003205356697528
Training loss at epoch 548: 1.956201823484295
Training loss at epoch 549: 1.967545378395951
Training loss at epoch 550: 1.9605532025542336
Training loss at epoch 551: 1.9726158519317527
